"id","dt","image","time_seen","location","site","CPMD","side","season"
"NHT-101",1990-04-29,"Nagarahole\NH-9000A-32",1899-12-30 00:00:00,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-101",1990-04-29,"Nagarahole\NH-9000A-32",1899-12-30 00:00:00,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-104",1991-01-30,"Nagarahole\NH-91002-02",NA,"BSR 0.1","Nagarahole","CT","L","1991"
"NHT-104",1991-01-30,"Nagarahole\NH-91002-02",NA,"BSR 0.1","Nagarahole","CT","L","1991"
"NHT-102",1991-02-11,"Nagarahole\NH-91001-01",1899-12-30 20:01:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-102",1991-02-11,"Nagarahole\NH-91001-01",1899-12-30 20:01:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-105",1991-02-11,"Nagarahole\NH-91002-15",1899-12-30 21:36:00,"NGR 2.0","Nagarahole","CT","R","1991"
"NHT-105",1991-02-11,"Nagarahole\NH-91002-15",1899-12-30 21:36:00,"NGR 2.0","Nagarahole","CT","R","1991"
"NHT-004",1991-02-14,"Nagarahole\NH-91001-06",1899-12-30 04:52:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-004",1991-02-14,"Nagarahole\NH-91001-06",1899-12-30 04:52:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-103",1991-02-21,"Nagarahole\NH-91001-07",1899-12-30 18:54:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-103",1991-02-21,"Nagarahole\NH-91001-07",1899-12-30 18:54:00,"NGR 2.4","Nagarahole","CT","R","1991"
"NHT-103",1991-03-09,"Nagarahole\NH-91004-05",1899-12-30 02:07:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-103",1991-03-09,"Nagarahole\NH-91004-05",1899-12-30 02:07:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-002",1991-03-14,"Nagarahole\NH-91004-10",1899-12-30 03:51:00,"NGR 4.4","Nagarahole","CT","L","1991"
"NHT-002",1991-03-14,"Nagarahole\NH-91004-10",1899-12-30 03:51:00,"NGR 4.4","Nagarahole","CT","L","1991"
"NHT-002",1991-03-22,"Nagarahole\NH-91006-19A",1899-12-30 03:04:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-002",1991-03-22,"Nagarahole\NH-91006-19A",1899-12-30 03:04:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-105",1991-03-24,"Nagarahole\NH-91005-14",1899-12-30 19:15:00,"NGR 2.0","Nagarahole","CT","R","1991"
"NHT-105",1991-03-24,"Nagarahole\NH-91005-14",1899-12-30 19:15:00,"NGR 2.0","Nagarahole","CT","R","1991"
"NHT-004",1991-03-30,"Nagarahole\NH-91006-27A",1899-12-30 19:48:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-004",1991-03-30,"Nagarahole\NH-91006-27A",1899-12-30 19:48:00,"NGR 4.4","Nagarahole","CT","R","1991"
"NHT-002",1991-04-06,"Nagarahole\NH-91007-12",1899-12-30 00:01:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-002",1991-04-06,"Nagarahole\NH-91007-12",1899-12-30 00:01:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-003",1991-04-07,"Nagarahole\NH-91008-4A",1899-12-30 22:47:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-003",1991-04-07,"Nagarahole\NH-91008-4A",1899-12-30 22:47:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-003",1991-04-09,"Nagarahole\NH-91005-27",1899-12-30 05:22:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-003",1991-04-09,"Nagarahole\NH-91005-27",1899-12-30 05:22:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-002",1991-04-10,"Nagarahole\NH-91007-17",1899-12-30 20:28:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-002",1991-04-10,"Nagarahole\NH-91007-17",1899-12-30 20:28:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-003",1991-04-11,"Nagarahole\NH-91008-12A",1899-12-30 00:03:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-003",1991-04-11,"Nagarahole\NH-91008-12A",1899-12-30 00:03:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-107",1991-04-11,"Nagarahole\NH-91007-18",1899-12-30 00:19:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-107",1991-04-11,"Nagarahole\NH-91007-18",1899-12-30 00:19:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-002",1991-04-11,"Nagarahole\NH-91005-29",1899-12-30 21:45:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-002",1991-04-11,"Nagarahole\NH-91005-29",1899-12-30 21:45:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-002",1991-04-15,"Nagarahole\NH-91007-21",1899-12-30 00:01:00,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-002",1991-04-15,"Nagarahole\NH-91007-21",1899-12-30 00:01:00,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-107",1991-04-21,"Nagarahole\NH-91007-28",1899-12-30 19:21:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-107",1991-04-21,"Nagarahole\NH-91007-28",1899-12-30 19:21:00,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-004",1991-04-21,"Nagarahole\NH-91005-30",1899-12-30 20:37:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-004",1991-04-21,"Nagarahole\NH-91005-30",1899-12-30 20:37:00,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-003",1991-04-22,"Nagarahole\NH-91008-25A",1899-12-30 22:59:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-003",1991-04-22,"Nagarahole\NH-91008-25A",1899-12-30 22:59:00,"CPR 1.6","Nagarahole","CT","L","1991"
"NHT-108",1991-06-12,"Nagarahole\NH-91012-29A",1899-12-30 19:49:00,"BSR 1.0P","Nagarahole","CT","R","1991"
"NHT-108",1991-06-12,"Nagarahole\NH-91012-29A",1899-12-30 19:49:00,"BSR 1.0P","Nagarahole","CT","R","1991"
"NHT-004",1991-06-19,"Nagarahole\NH-91013-01",NA,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-004",1991-06-19,"Nagarahole\NH-91013-01",NA,"BSR 1.0P","Nagarahole","CT","L","1991"
"NHT-103",1991-07-07,"Nagarahole\NH-91014-9A",NA,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-103",1991-07-07,"Nagarahole\NH-91014-9A",NA,"MLKR 0.8","Nagarahole","CT","L","1991"
"NHT-002",1991-07-13,"Nagarahole\NH-91013-10A",NA,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-002",1991-07-13,"Nagarahole\NH-91013-10A",NA,"MLKR 0.8","Nagarahole","CT","R","1991"
"NHT-110",1991-11-14,"Nagarahole\NH-91016-20",1899-12-30 03:31:00,"NGR 4.4","Nagarahole","CT","L","1992"
"NHT-110",1991-11-14,"Nagarahole\NH-91016-20",1899-12-30 03:31:00,"NGR 4.4","Nagarahole","CT","L","1992"
"NHT-110",1991-11-14,"Nagarahole\NH-91015-20A",1899-12-30 03:31:00,"NGR 4.4","Nagarahole","CT","R","1992"
