"season","Nagarahole","Bhadra","Bandipur","Pench(Mah)","Anshi-Dandeli","BiligiriRT","Wayanad","Mhadei","Goa","CauveryMM","Kudremukh"
"1991",10,0,0,0,0,0,0,0,0,0,0
"1992",1,0,0,0,0,0,0,0,0,0,0
"1993",3,0,0,0,0,0,0,0,0,0,0
"1994",10,0,0,0,0,0,0,0,0,0,0
"1995",3,0,0,0,0,0,0,0,0,0,0
"1996",18,0,0,0,0,0,0,0,0,0,0
"1997",3,11,0,0,0,0,0,0,0,0,0
"1998",3,6,0,0,0,0,0,0,0,0,0
"1999",12,0,16,0,0,0,0,0,0,0,0
"2000",16,0,0,0,0,0,0,0,0,0,0
"02",0,0,0,14,0,0,0,0,0,0,0
"04",34,0,38,0,0,0,0,0,0,0,0
"05",22,14,30,0,0,0,0,0,0,0,0
"06",21,7,14,0,0,0,0,0,0,0,0
"07",6,4,27,0,0,0,0,0,0,0,0
"08",8,4,25,0,3,0,0,0,0,0,0
"09",17,4,25,0,3,0,0,0,0,0,0
"10",17,8,24,8,1,0,0,0,0,0,0
"11",19,11,12,0,3,41,0,0,0,0,0
"12",42,8,50,0,0,19,0,0,0,0,0
"13",38,10,50,0,0,34,50,1,1,0,0
"14",40,17,52,0,1,17,10,0,0,0,0
"15",86,9,36,0,0,25,62,0,0,0,0
"16",78,20,38,0,0,0,73,0,0,5,2
"17",27,20,0,0,0,0,27,0,0,0,0
