"season","Nagarahole","Bhadra","Bandipur","Pench(Mah)","Anshi-Dandeli","Tithimathi","BiligiriRT","Wayanad","Goa","CauveryMM","Kudremukh"
"1991",6,0,0,0,0,0,0,0,0,0,0
"1992",2,0,0,0,0,0,0,0,0,0,0
"1993",6,0,0,0,0,0,0,0,0,0,0
"1994",6,0,0,0,0,0,0,0,0,0,0
"1995",6,0,0,0,0,0,0,0,0,0,0
"1996",18,0,0,0,0,0,0,0,0,0,0
"1997",5,9,0,0,0,0,0,0,0,0,0
"1998",6,2,0,0,0,0,0,0,0,0,0
"1999",15,0,8,0,0,0,0,0,0,0,0
"2000",4,0,0,0,0,0,0,0,0,0,0
"02",0,0,0,4,0,0,0,0,0,0,0
"04",26,0,23,0,0,0,0,0,0,0,0
"05",17,23,24,0,0,0,0,0,0,0,0
"06",8,9,18,0,0,0,0,0,0,0,0
"07",28,12,14,0,0,0,0,0,0,0,0
"08",18,15,21,0,19,0,0,0,0,0,0
"09",18,24,32,0,63,0,0,0,0,0,0
"10",11,10,27,0,49,2,0,0,0,0,0
"11",11,15,9,0,43,0,9,0,0,0,0
"12",34,14,45,0,16,0,12,0,0,0,0
"13",32,41,35,0,71,0,12,36,14,0,0
"14",19,33,44,0,4,0,17,14,3,0,0
"15",31,20,30,0,0,0,19,29,0,0,0
"16",15,24,40,0,0,0,0,17,0,62,47
"17",34,0,0,0,0,0,0,21,0,0,0
"2017",0,0,0,0,0,0,0,0,0,0,0
