"season","Nagarahole","Bhadra","Bandipur","Pench(Mah)","Anshi-Dandeli","Tithimathi","BiligiriRT","Wayanad","Goa","CauveryMM","Kudremukh"
"1991",6,0,0,0,0,0,0,0,0,0,0
"1992",8,0,0,0,0,0,0,0,0,0,0
"1993",14,0,0,0,0,0,0,0,0,0,0
"1994",20,0,0,0,0,0,0,0,0,0,0
"1995",26,0,0,0,0,0,0,0,0,0,0
"1996",44,0,0,0,0,0,0,0,0,0,0
"1997",49,9,0,0,0,0,0,0,0,0,0
"1998",55,11,0,0,0,0,0,0,0,0,0
"1999",70,0,8,0,0,0,0,0,0,0,0
"2000",74,0,0,0,0,0,0,0,0,0,0
"02",0,0,0,4,0,0,0,0,0,0,0
"04",100,0,31,0,0,0,0,0,0,0,0
"05",117,34,55,0,0,0,0,0,0,0,0
"06",125,43,73,0,0,0,0,0,0,0,0
"07",153,55,87,0,0,0,0,0,0,0,0
"08",171,70,108,0,19,0,0,0,0,0,0
"09",189,94,140,0,82,0,0,0,0,0,0
"10",200,104,167,0,131,2,0,0,0,0,0
"11",211,119,176,0,174,0,9,0,0,0,0
"12",245,133,221,0,190,0,21,0,0,0,0
"13",277,174,256,0,261,0,33,36,14,0,0
"14",296,207,300,0,265,0,50,50,17,0,0
"15",327,227,330,0,0,0,69,79,0,0,0
"16",342,251,370,0,0,0,0,96,0,62,47
"17",376,0,0,0,0,0,0,117,0,0,0
"2017",0,251,0,0,0,0,0,0,0,0,0
